DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Year,Month,Hour
2020-11-23,935,Van Nuys,BATTERY - SIMPLE ASSAULT,35,M,H,2020,2020-11-01,9
2020-11-14,405,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,M,H,2020,2020-11-01,4
2020-09-27,230,West LA,BATTERY - SIMPLE ASSAULT,36,F,W,2020,2020-09-01,2
2020-07-13,1245,Wilshire,BATTERY - SIMPLE ASSAULT,67,M,A,2020,2020-07-01,12
2020-07-05,1000,Wilshire,BATTERY - SIMPLE ASSAULT,66,F,H,2020,2020-07-01,10
2020-07-18,1830,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,M,H,2020,2020-07-01,18
2020-02-14,1118,Hollenbeck,BATTERY - SIMPLE ASSAULT,32,F,H,2020,2020-02-01,11
2020-11-15,1703,Southwest,BATTERY - SIMPLE ASSAULT,25,F,H,2020,2020-11-01,17
2020-12-02,1915,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",70,M,H,2020,2020-12-01,19
2020-11-14,1730,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,A,2020,2020-11-01,17
2020-01-04,1025,Hollywood,BATTERY - SIMPLE ASSAULT,38,M,B,2020,2020-01-01,10
2020-11-14,1300,Southwest,BATTERY - SIMPLE ASSAULT,71,F,H,2020,2020-11-01,13
2020-06-26,1520,Hollywood,BATTERY - SIMPLE ASSAULT,29,M,H,2020,2020-06-01,15
2020-10-30,1215,West LA,BATTERY - SIMPLE ASSAULT,26,F,B,2020,2020-10-01,12
2020-11-23,100,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,M,H,2020,2020-11-01,1
2020-08-15,1630,Van Nuys,BATTERY - SIMPLE ASSAULT,12,M,B,2020,2020-08-01,16
2020-11-22,700,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18,M,H,2020,2020-11-01,7
2020-10-23,1130,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",37,M,W,2020,2020-10-01,11
2020-10-31,520,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48,F,B,2020,2020-10-01,5
2020-04-25,2100,Van Nuys,BATTERY - SIMPLE ASSAULT,81,F,W,2020,2020-04-01,21
2020-04-23,1430,Hollywood,BATTERY - SIMPLE ASSAULT,28,F,O,2020,2020-04-01,14
2020-11-07,1500,West Valley,BATTERY - SIMPLE ASSAULT,28,M,H,2020,2020-11-01,15
2020-11-16,914,Southwest,BATTERY - SIMPLE ASSAULT,19,F,B,2020,2020-11-01,9
2020-11-01,100,Van Nuys,BATTERY - SIMPLE ASSAULT,39,F,O,2020,2020-11-01,1
2020-11-22,30,Hollenbeck,BATTERY - SIMPLE ASSAULT,19,M,H,2020,2020-11-01,0
2020-06-14,2200,West LA,BATTERY - SIMPLE ASSAULT,29,F,H,2020,2020-06-01,22
2020-11-22,1215,Southwest,BATTERY - SIMPLE ASSAULT,60,M,H,2020,2020-11-01,12
2020-08-11,35,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,X,X,2020,2020-08-01,0
2020-01-31,1520,West Valley,BATTERY - SIMPLE ASSAULT,13,M,B,2020,2020-01-01,15
2020-06-28,1930,West Valley,BATTERY - SIMPLE ASSAULT,21,M,O,2020,2020-06-01,19
2020-05-27,2000,Van Nuys,BATTERY - SIMPLE ASSAULT,49,F,H,2020,2020-05-01,20
2020-06-01,445,West LA,BATTERY - SIMPLE ASSAULT,33,M,W,2020,2020-06-01,4
2020-08-05,1720,Hollywood,BATTERY - SIMPLE ASSAULT,24,F,H,2020,2020-08-01,17
2020-07-28,2045,Wilshire,BATTERY - SIMPLE ASSAULT,36,F,O,2020,2020-07-01,20
2020-04-16,40,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,F,B,2020,2020-04-01,0
2020-11-19,2230,Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,F,H,2020,2020-11-01,22
2020-07-30,1430,West LA,BATTERY - SIMPLE ASSAULT,39,F,W,2020,2020-07-01,14
2020-05-04,1700,Wilshire,BATTERY - SIMPLE ASSAULT,41,M,B,2020,2020-05-01,17
